features,score
hash-9434,1.0
hash-4970,1.0
hash-6663,1.0
hash-7913,1.0
hash-1002,1.0
hash-1714,1.0
hash-9044,1.0
hash-5770,1.0
hash-4961,1.0
hash-5964,1.0
hash-7420,1.0
hash-4049,1.0
hash-5912,1.0
hash-6638,1.0
hash-3392,1.0
hash-3595,1.0
hash-7300,1.0
hash-7736,1.0
hash-4551,1.0
hash-3176,1.0
hash-5634,1.0
hash-8048,1.0
hash-7737,1.0
hash-7338,1.0
hash-4928,1.0
hash-7940,1.0
hash-6153,1.0
hash-672,1.0
hash-4474,1.0
hash-268,1.0
hash-84,1.0
hash-9686,1.0
hash-6338,1.0
hash-5166,1.0
hash-1643,1.0
hash-1929,1.0
hash-1448,1.0
hash-441,1.0
hash-2717,1.0
hash-8320,1.0
hash-711,1.0
hash-5481,1.0
hash-7403,1.0
hash-7268,1.0
hash-5525,1.0
hash-9181,1.0
hash-5638,1.0
hash-3128,1.0
hash-1518,1.0
hash-6593,1.0
hash-426,1.0
hash-3327,1.0
hash-8766,1.0
hash-2883,1.0
hash-5803,1.0
hash-1509,1.0
hash-8591,1.0
hash-3814,1.0
hash-8446,1.0
hash-284,1.0
hash-2059,1.0
hash-5756,1.0
hash-1975,1.0
hash-3901,1.0
hash-5945,1.0
hash-8935,1.0
hash-2239,1.0
hash-8293,1.0
hash-887,1.0
hash-6613,1.0
hash-1648,1.0
hash-2851,1.0
hash-4843,1.0
hash-1412,1.0
hash-9518,1.0
hash-4588,1.0
hash-9408,1.0
hash-4643,1.0
hash-2726,1.0
hash-5421,1.0
hash-5830,1.0
hash-9356,1.0
hash-8278,1.0
hash-6424,1.0
hash-9596,1.0
hash-1538,1.0
hash-8176,1.0
hash-5240,1.0
hash-9216,1.0
hash-51,1.0
hash-5888,1.0
hash-7134,1.0
hash-2796,1.0
hash-9500,1.0
hash-5946,1.0
hash-413,1.0
hash-1589,1.0
hash-9102,1.0
hash-3825,1.0
hash-3315,1.0
hash-5378,1.0
hash-7314,1.0
hash-3205,1.0
hash-9001,1.0
hash-4364,1.0
hash-2528,1.0
hash-2695,1.0
hash-5546,1.0
hash-8221,1.0
hash-184,1.0
hash-6020,1.0
hash-5137,1.0
hash-9226,1.0
hash-5333,1.0
hash-1378,1.0
hash-5293,1.0
hash-6293,1.0
hash-1906,1.0
hash-5579,1.0
hash-1091,1.0
hash-4201,1.0
hash-3926,1.0
hash-5125,1.0
hash-4999,1.0
hash-1128,1.0
hash-5821,1.0
hash-4846,1.0
hash-1624,1.0
hash-1860,1.0
hash-7810,1.0
hash-2570,1.0
hash-8524,1.0
hash-6539,1.0
hash-3208,1.0
hash-3194,1.0
hash-3370,1.0
hash-3669,1.0
hash-9609,1.0
hash-2435,1.0
hash-9999,1.0
hash-7209,1.0
hash-810,1.0
hash-8899,1.0
hash-3862,1.0
hash-9441,1.0
hash-6185,1.0
hash-7814,1.0
hash-3939,1.0
hash-2267,1.0
hash-3235,1.0
hash-5714,1.0
hash-1408,1.0
hash-242,1.0
hash-5332,1.0
hash-4617,1.0
hash-403,1.0
hash-7616,1.0
hash-736,1.0
hash-2425,1.0
hash-160,1.0
hash-3586,1.0
hash-6012,1.0
hash-2586,1.0
hash-2716,1.0
hash-5860,1.0
hash-664,1.0
hash-506,1.0
hash-3320,1.0
hash-7265,1.0
hash-1841,1.0
hash-4012,1.0
hash-412,1.0
hash-2563,1.0
hash-4852,1.0
hash-9641,1.0
hash-911,1.0
hash-5652,1.0
hash-1345,1.0
